dataset,model,strategy,avg_f1
Refined_Promise,Qwen2-7B,Zero-shot,0.413
Refined_Promise,Qwen2-7B,Few-shot,0.500
Refined_Promise,Qwen2-7B,CoT,0.487
Refined_Promise,Qwen2-7B,CoT+Few-shot,0.547
Refined_Promise,Qwen2-7B,APE,0.595
Refined_Promise,Falcon3-7B,Zero-shot,0.125
Refined_Promise,Falcon3-7B,Few-shot,0.559
Refined_Promise,Falcon3-7B,CoT,0.260
Refined_Promise,Falcon3-7B,CoT+Few-shot,0.635
Refined_Promise,Falcon3-7B,APE,0.607
Refined_Promise,Granite-3.2-8B,Zero-shot,0.463
Refined_Promise,Granite-3.2-8B,Few-shot,0.515
Refined_Promise,Granite-3.2-8B,CoT,0.441
Refined_Promise,Granite-3.2-8B,CoT+Few-shot,0.476
Refined_Promise,Granite-3.2-8B,APE,0.477
Refined_Promise,Ministral-8B,Zero-shot,0.455
Refined_Promise,Ministral-8B,Few-shot,0.594
Refined_Promise,Ministral-8B,CoT,0.362
Refined_Promise,Ministral-8B,CoT+Few-shot,0.446
Refined_Promise,Ministral-8B,APE,0.637
Refined_Promise,Llama-3-8B,Zero-shot,0.212
Refined_Promise,Llama-3-8B,Few-shot,0.266
Refined_Promise,Llama-3-8B,CoT,0.283
Refined_Promise,Llama-3-8B,CoT+Few-shot,0.393
Refined_Promise,Llama-3-8B,APE,0.551
Promise_NFR,Qwen2-7B,Zero-shot,0.749
Promise_NFR,Qwen2-7B,Few-shot,0.726
Promise_NFR,Qwen2-7B,CoT,0.668
Promise_NFR,Qwen2-7B,CoT+Few-shot,0.749
Promise_NFR,Qwen2-7B,APE,0.847
Promise_NFR,Falcon3-7B,Zero-shot,0.642
Promise_NFR,Falcon3-7B,Few-shot,0.708
Promise_NFR,Falcon3-7B,CoT,0.753
Promise_NFR,Falcon3-7B,CoT+Few-shot,0.754
Promise_NFR,Falcon3-7B,APE,0.831
Promise_NFR,Granite-3.2-8B,Zero-shot,0.703
Promise_NFR,Granite-3.2-8B,Few-shot,0.720
Promise_NFR,Granite-3.2-8B,CoT,0.708
Promise_NFR,Granite-3.2-8B,CoT+Few-shot,0.774
Promise_NFR,Granite-3.2-8B,APE,0.820
Promise_NFR,Ministral-8B,Zero-shot,0.377
Promise_NFR,Ministral-8B,Few-shot,0.722
Promise_NFR,Ministral-8B,CoT,0.722
Promise_NFR,Ministral-8B,CoT+Few-shot,0.722
Promise_NFR,Ministral-8B,APE,0.847
Promise_NFR,Llama-3-8B,Zero-shot,0.716
Promise_NFR,Llama-3-8B,Few-shot,0.680
Promise_NFR,Llama-3-8B,CoT,0.679
Promise_NFR,Llama-3-8B,CoT+Few-shot,0.717
Promise_NFR,Llama-3-8B,APE,0.792
SecReq,Qwen2-7B,Zero-shot,0.651
SecReq,Qwen2-7B,Few-shot,0.818
SecReq,Qwen2-7B,CoT,0.843
SecReq,Qwen2-7B,CoT+Few-shot,0.843
SecReq,Qwen2-7B,APE,0.945
SecReq,Falcon3-7B,Zero-shot,0.848
SecReq,Falcon3-7B,Few-shot,0.836
SecReq,Falcon3-7B,CoT,0.825
SecReq,Falcon3-7B,CoT+Few-shot,0.848
SecReq,Falcon3-7B,APE,0.947
SecReq,Granite-3.2-8B,Zero-shot,0.819
SecReq,Granite-3.2-8B,Few-shot,0.766
SecReq,Granite-3.2-8B,CoT,0.871
SecReq,Granite-3.2-8B,CoT+Few-shot,0.836
SecReq,Granite-3.2-8B,APE,0.859
SecReq,Ministral-8B,Zero-shot,0.814
SecReq,Ministral-8B,Few-shot,0.814
SecReq,Ministral-8B,CoT,0.787
SecReq,Ministral-8B,CoT+Few-shot,0.797
SecReq,Ministral-8B,APE,0.922
SecReq,Llama-3-8B,Zero-shot,0.886
SecReq,Llama-3-8B,Few-shot,0.862
SecReq,Llama-3-8B,CoT,0.867
SecReq,Llama-3-8B,CoT+Few-shot,0.886
SecReq,Llama-3-8B,APE,0.864
