dataset,model,strategy,avg_f1,avg_f2
Refined_Promise,Qwen2-7B,Zero-shot,0.413,0.391
Refined_Promise,Qwen2-7B,Few-shot,0.500,0.584
Refined_Promise,Qwen2-7B,CoT,0.487,0.599
Refined_Promise,Qwen2-7B,CoT+Few-shot,0.547,0.613
Refined_Promise,Qwen2-7B,APE,0.595,0.697
Refined_Promise,Falcon3-7B,Zero-shot,0.125,0.102
Refined_Promise,Falcon3-7B,Few-shot,0.559,0.527
Refined_Promise,Falcon3-7B,CoT,0.260,0.267
Refined_Promise,Falcon3-7B,CoT+Few-shot,0.635,0.605
Refined_Promise,Falcon3-7B,APE,0.607,0.614
Refined_Promise,Granite-3.2-8B,Zero-shot,0.463,0.470
Refined_Promise,Granite-3.2-8B,Few-shot,0.515,0.512
Refined_Promise,Granite-3.2-8B,CoT,0.441,0.478
Refined_Promise,Granite-3.2-8B,CoT+Few-shot,0.476,0.510
Refined_Promise,Granite-3.2-8B,APE,0.477,0.432
Refined_Promise,Ministral-8B,Zero-shot,0.455,0.467
Refined_Promise,Ministral-8B,Few-shot,0.594,0.564
Refined_Promise,Ministral-8B,CoT,0.362,0.352
Refined_Promise,Ministral-8B,CoT+Few-shot,0.446,0.455
Refined_Promise,Ministral-8B,APE,0.637,0.693
Refined_Promise,Llama-3-8B,Zero-shot,0.212,0.173
Refined_Promise,Llama-3-8B,Few-shot,0.266,0.291
Refined_Promise,Llama-3-8B,CoT,0.283,0.287
Refined_Promise,Llama-3-8B,CoT+Few-shot,0.393,0.403
Refined_Promise,Llama-3-8B,APE,0.551,0.642
Promise_NFR,Qwen2-7B,Zero-shot,0.749,0.759
Promise_NFR,Qwen2-7B,Few-shot,0.726,0.737
Promise_NFR,Qwen2-7B,CoT,0.668,0.667
Promise_NFR,Qwen2-7B,CoT+Few-shot,0.749,0.759
Promise_NFR,Qwen2-7B,APE,0.847,0.851
Promise_NFR,Falcon3-7B,Zero-shot,0.642,0.641
Promise_NFR,Falcon3-7B,Few-shot,0.708,0.717
Promise_NFR,Falcon3-7B,CoT,0.753,0.763
Promise_NFR,Falcon3-7B,CoT+Few-shot,0.754,0.764
Promise_NFR,Falcon3-7B,APE,0.831,0.827
Promise_NFR,Granite-3.2-8B,Zero-shot,0.703,0.714
Promise_NFR,Granite-3.2-8B,Few-shot,0.720,0.727
Promise_NFR,Granite-3.2-8B,CoT,0.708,0.716
Promise_NFR,Granite-3.2-8B,CoT+Few-shot,0.774,0.778
Promise_NFR,Granite-3.2-8B,APE,0.820,0.821
Promise_NFR,Ministral-8B,Zero-shot,0.377,0.408
Promise_NFR,Ministral-8B,Few-shot,0.722,0.732
Promise_NFR,Ministral-8B,CoT,0.722,0.729
Promise_NFR,Ministral-8B,CoT+Few-shot,0.722,0.732
Promise_NFR,Ministral-8B,APE,0.847,0.849
Promise_NFR,Llama-3-8B,Zero-shot,0.716,0.728
Promise_NFR,Llama-3-8B,Few-shot,0.680,0.692
Promise_NFR,Llama-3-8B,CoT,0.679,0.692
Promise_NFR,Llama-3-8B,CoT+Few-shot,0.717,0.728
Promise_NFR,Llama-3-8B,APE,0.792,0.798
SecReq,Qwen2-7B,Zero-shot,0.651,0.661
SecReq,Qwen2-7B,Few-shot,0.818,0.806
SecReq,Qwen2-7B,CoT,0.843,0.837
SecReq,Qwen2-7B,CoT+Few-shot,0.843,0.837
SecReq,Qwen2-7B,APE,0.945,0.954
SecReq,Falcon3-7B,Zero-shot,0.848,0.854
SecReq,Falcon3-7B,Few-shot,0.836,0.857
SecReq,Falcon3-7B,CoT,0.825,0.825
SecReq,Falcon3-7B,CoT+Few-shot,0.848,0.854
SecReq,Falcon3-7B,APE,0.947,0.952
SecReq,Granite-3.2-8B,Zero-shot,0.819,0.798
SecReq,Granite-3.2-8B,Few-shot,0.766,0.792
SecReq,Granite-3.2-8B,CoT,0.871,0.883
SecReq,Granite-3.2-8B,CoT+Few-shot,0.836,0.857
SecReq,Granite-3.2-8B,APE,0.859,0.874
SecReq,Ministral-8B,Zero-shot,0.814,0.829
SecReq,Ministral-8B,Few-shot,0.814,0.829
SecReq,Ministral-8B,CoT,0.787,0.838
SecReq,Ministral-8B,CoT+Few-shot,0.797,0.817
SecReq,Ministral-8B,APE,0.922,0.925
SecReq,Llama-3-8B,Zero-shot,0.886,0.879
SecReq,Llama-3-8B,Few-shot,0.862,0.849
SecReq,Llama-3-8B,CoT,0.867,0.867
SecReq,Llama-3-8B,CoT+Few-shot,0.886,0.877
SecReq,Llama-3-8B,APE,0.864,0.889
